,type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldPrice,soldOn,listPrice,status
330,condos,1965.0,1.0,1.0,1.0,,,,1000.0,3.0,44000.0,1995-10-04,112100.0,for_sale
1732,single_family,1947.0,2.0,2.0,1.0,1.0,2.0,,1200.0,,145000.0,2000-10-16,188000.0,for_sale
1446,single_family,2024.0,5.0,4.0,3.0,1.0,2.0,6168.0,3000.0,2.0,101000.0,2007-12-06,789900.0,for_sale
204,condos,2003.0,1.0,2.0,1.0,1.0,1.0,,890.0,15.0,222000.0,2003-10-16,325000.0,for_sale
1534,condos,1891.0,0.0,3.0,2.0,1.0,2.0,,,5.0,1170000.0,2000-07-20,689900.0,for_sale
1629,single_family,1967.0,3.0,2.0,2.0,,2.0,,2107.0,,90000.0,1993-07-23,315000.0,for_sale
25,single_family,1912.0,5.0,2.0,2.0,,2.0,3049.0,1700.0,2.0,110000.0,2022-06-06,219900.0,for_sale
384,single_family,1921.0,4.0,2.0,1.0,1.0,2.0,3844.0,1490.0,2.0,85000.0,2017-10-24,129000.0,for_sale
805,single_family,1926.0,4.0,2.0,2.0,,2.0,,,2.0,390000.0,2005-05-13,499900.0,for_sale
1900,single_family,1893.0,3.0,2.0,1.0,1.0,,3125.0,,2.0,60000.0,2009-12-24,350000.0,for_sale
463,condos,1970.0,3.0,3.0,2.0,1.0,1.0,,2170.0,39.0,450000.0,1990-06-28,549900.0,for_sale
1520,single_family,1956.0,3.0,2.0,2.0,,2.0,3990.0,1007.0,,230000.0,2017-05-22,299900.0,for_sale
1765,condos,1961.0,2.0,1.0,1.0,,,,1100.0,1.0,,,164900.0,for_sale
1711,single_family,1950.0,3.0,3.0,2.0,1.0,2.0,,1495.0,1.0,,,359900.0,for_sale
1058,condos,,3.0,2.0,2.0,,,,1748.0,3.0,260000.0,2021-05-16,299000.0,for_sale
727,single_family,1888.0,5.0,4.0,3.0,1.0,,1089.0,2700.0,3.0,577500.0,1999-10-22,1150000.0,for_sale
1905,single_family,1947.0,3.0,3.0,2.0,1.0,2.0,3750.0,2520.0,2.0,105000.0,2022-06-29,365000.0,for_sale
1212,single_family,1886.0,5.0,2.0,2.0,,2.0,3125.0,1892.0,2.0,288000.0,2002-04-03,699000.0,for_sale
680,single_family,1938.0,4.0,4.0,3.0,1.0,2.0,5125.0,2500.0,2.0,141000.0,1998-11-04,579900.0,for_sale
1390,condos,1917.0,3.0,3.0,3.0,,,,1710.0,3.0,,,199900.0,for_sale
1929,condos,,3.0,2.0,2.0,,,,1500.0,3.0,,,288500.0,for_sale
1243,condos,1968.0,2.0,2.0,2.0,,1.0,,,42.0,255000.0,1979-06-07,324900.0,for_sale
1749,multi_family,,6.0,4.0,4.0,,2.0,3049.0,,,1415000.0,2022-09-06,1695000.0,for_sale
1238,multi_family,1909.0,6.0,2.0,2.0,,2.0,,,,,,,for_sale
1864,condos,,1.0,1.0,1.0,,,,454.0,2.0,,,140000.0,for_sale
1087,single_family,1937.0,3.0,3.0,3.0,,3.0,4477.0,2046.0,2.0,125000.0,1987-10-01,450000.0,for_sale
172,condos,2003.0,0.0,1.0,1.0,,1.0,,,59.0,183000.0,2003-12-23,209900.0,for_sale
1502,single_family,1904.0,4.0,3.0,3.0,,2.0,4625.0,1125.0,2.0,,,425000.0,for_sale
808,single_family,1923.0,3.0,2.0,1.0,1.0,,6625.0,1314.0,2.0,,,119900.0,for_sale
198,condos,1973.0,2.0,2.0,2.0,,1.0,,1150.0,57.0,309000.0,2022-04-22,325000.0,for_sale
517,single_family,1926.0,3.0,1.0,1.0,,2.0,,925.0,1.0,,,125000.0,for_sale
875,single_family,1930.0,3.0,2.0,2.0,,2.0,3751.0,1226.0,2.0,34500.0,1981-03-31,198500.0,for_sale
900,multi_family,1925.0,6.0,2.0,2.0,,,,2200.0,,,,188000.0,for_sale
352,single_family,1923.0,2.0,2.0,2.0,,2.0,3123.0,1369.0,2.0,67000.0,2002-04-12,125000.0,for_sale
56,single_family,1880.0,5.0,3.0,1.0,2.0,,3180.0,1980.0,3.0,380000.0,1999-05-26,850000.0,for_sale
1059,multi_family,1903.0,8.0,3.0,3.0,,2.0,,,,,,329000.0,for_sale
2,single_family,1947.0,4.0,2.0,2.0,,3.0,5375.0,1170.0,2.0,60000.0,2019-10-28,325600.0,for_sale
1791,single_family,1951.0,3.0,2.0,1.0,1.0,2.0,5000.0,1320.0,2.0,62000.0,1986-01-01,319900.0,for_sale
44,single_family,1918.0,2.0,2.0,2.0,,,,2200.0,2.0,141000.0,2021-09-07,265000.0,for_sale
1076,condos,2023.0,3.0,4.0,3.0,1.0,1.0,,3557.0,15.0,,,2699000.0,for_sale
1442,condos,2020.0,2.0,2.0,2.0,,,,,4.0,,,799000.0,for_sale
255,single_family,1951.0,3.0,2.0,1.0,1.0,,,1492.0,2.0,,,289900.0,for_sale
772,condos,1969.0,2.0,2.0,2.0,,,,,6.0,150000.0,2021-01-26,185000.0,for_sale
221,single_family,1916.0,4.0,3.0,2.0,1.0,2.0,3125.0,1360.0,2.0,290000.0,2019-08-23,160000.0,for_sale
1124,townhomes,1942.0,3.0,2.0,2.0,,,4400.0,1336.0,2.0,,,125000.0,for_sale
877,condos,1914.0,1.0,1.0,1.0,,1.0,,1000.0,11.0,210500.0,2022-04-15,245000.0,for_sale
